block_name,tag,pnr_dir,stage,,is_lef,is_def,is_netlist,is_lib,is_spef
cbue_top,grid_pn85.3_post_dft,/services/bespace/users/meravi/nextflow_pn85v2/be_work/brcm5/cbue_top/rtl_pn85_v3_brcm/pnr_pn85v_brcm_new_ports,route,,,,,,
cbui_top,grid_pn85.3_post_dft,/services/bespace/users/meravi/nextflow_pn85v2/be_work/brcm5/cbui_top/rtl_pn85_v3_brcm/pnr_pn85v3_brcm_new_ports,route,,,,,,
tcu_top,grid_pn85.3_post_dft,/services/bespace/users/moriya/nxt012/nextflow_may22/be_work/brcm5/tcu_top/tcu_top_pn85_ww22_dft/pnr/,place,,,,,,
nfi_mcu_top,grid_pn85.3_post_dft,/services/bespace/users/hilleln/inext/nextflow_22ww15b/be_work/brcm5/nfi_mcu_top/pn85c_mcu_4bins/pnr_4_from_DFT_fixed_io_from_Or_22ww23d,route,/services/bespace/users/hilleln/inext/nextflow_22ww15b/be_work/brcm5/nfi_mcu_top/pn85c_mcu_4bins/pnr_4_from_DFT_fixed_io_from_Or_22ww23d/scripts_local/nfi_mcu_top.v.gz,,,,,
grid_quad_south_filler_col_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_south_filler_col_top/v0_quad_pn85/pnr_dft_def,cts,,,,,,
grid_quad_south_filler_col_0_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_south_filler_col_0_top/v0_quad_pn85/pnr_dft_def,cts,,,,,,
grid_quad_south_filler_east_col_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_south_filler_east_col_top/v0_quad_pn85/pnr_dft_def,cts,,,,,,
grid_quad_west_filler_row_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_west_filler_row_top/v0_quad_pn85/pnr_brcm_def_dft,cts,,,,,,
grid_quad_west_filler_ecore_row_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_west_filler_ecore_row_top/v0_quad_pn85/pnr_new_size_x_lego_sub,cts,,,,,,
grid_quad_north_filler_col_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_north_filler_col_top/v0_quad_pn85/pnr_brcm_def_dft,cts,,,,,,
grid_quad_east_filler_row_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_east_filler_row_top/v0_quad_pn85/pnr_brcm_def_dft,cts,,,,,,
grid_quad_east_filler_row_0_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_east_filler_row_0_top/v0_quad_pn85/pnr_brcm_def_dft,cts,,,,,,
grid_quad_east_filler_row_notch_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_east_filler_row_notch_top/v0_quad_pn85/pnr_brcm_def_dft,cts,,,,,,
grid_quad_east_filler_row_7_top,grid_pn85.3_post_dft,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_east_filler_row_7_top/v0_quad_pn85/pnr_brcm_def_dft,cts,,,,,,
grid_quad_south_filler_col_top,grid_pn85.3_post_dft_new_fp,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_south_filler_col_top/v0_quad_pn85/pnr_brcm_def_dft_post_route_cubby,route,,,,,,
grid_quad_south_filler_col_0_top,grid_pn85.3_post_dft_new_fp,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_south_filler_col_0_top/v0_quad_pn85/pnr_brcm_def_dft_post_route_cubby,route,,,,,,
grid_quad_south_filler_east_col_top,grid_pn85.3_post_dft_new_fp,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_south_filler_east_col_top/v0_quad_pn85/pnr_brcm_def_post_route_cubby,route,,,,,,
grid_quad_north_filler_col_top,grid_pn85.3_post_dft_new_fp,/services/bespace/users/hagaik/nextflow_27_4_22/be_work/brcm5/grid_quad_north_filler_col_top/v0_quad_pn85/pnr_brcm_def_dft_post_route_cubby,route,,,,,,
